time,open,high,low,close,Volume,Volume MA
1672284000,19899,19899,19899,19899,1,NaN
1672326000,19800,19800,19800,19800,3,NaN
1672326300,19800,19800,19800,19800,7,NaN
1672331400,20135,20149,20135,20149,2,NaN
1672362900,20100,20100,20100,20100,1,NaN
1672363200,20169,20171,20169,20171,10,NaN
1672363800,20164,20175,20153,20154,7,NaN
1672364100,20130,20181,20120,20181,7,NaN
1672364400,20130,20151,20130,20140,4,NaN
1672365300,20090,20100,20090,20100,2,NaN
1672365600,20060,20060,20060,20060,1,NaN
1672365900,20075,20091,20075,20091,23,NaN
1672366200,20100,20100,20075,20076,47,NaN
1672366500,20054,20054,20046,20046,2,NaN
1672366800,20000,20000,19986,19986,13,NaN
1672367100,20025,20025,20025,20025,1,NaN
1672367400,19984,19987,19984,19987,39,NaN
1672368000,19950,19950,19950,19950,1,NaN
1672369200,20008,20008,20008,20008,2,NaN
1672369800,20045,20045,20045,20045,2,NaN
1672370100,20041,20043,20041,20043,15,NaN
1672370400,20049,20049,20049,20049,1,NaN
1672370700,20048,20051,20048,20048,33,NaN
1672372200,20060,20060,20060,20060,1,NaN
1672372500,20059,20059,20059,20059,2,NaN
1672376400,20073,20080,20058,20060,105,NaN
1672377000,20065,20068,20065,20068,2,NaN
1672377900,19972,19972,19964,19964,3,NaN
1672378500,19990,19990,19984,19984,24,NaN
1672378800,19980,19990,19980,19990,4,NaN
1672379400,20010,20010,20010,20010,2,NaN
1672379700,20014,20014,20014,20014,2,NaN
1672380000,19970,19970,19970,19970,1,NaN
1672380600,19989,19989,19981,19981,8,NaN
1672380900,19961,19961,19961,19961,1,NaN
1672382400,19991,19991,19991,19991,1,NaN
1672382700,19996,19996,19988,19989,11,NaN
1672383000,19983,19983,19983,19983,5,NaN
1672383300,19970,19970,19970,19970,10,NaN
1672383600,19967,19973,19967,19972,11,NaN
1672383900,19975,20000,19975,20000,10,NaN
1672384200,20008,20020,20008,20020,6,NaN
1672384500,20019,20019,20016,20016,3,NaN
1672385700,19974,19974,19967,19969,25,NaN
1672386000,19969,19969,19961,19961,67,NaN
1672386900,19968,19972,19968,19969,9,NaN
1672387200,19961,19961,19933,19933,8,NaN
1672387800,19968,19968,19961,19961,4,NaN
1672388100,19970,19970,19964,19965,11,NaN
1672388700,19968,19979,19968,19979,4,NaN
1672391700,19974,19975,19974,19975,7,NaN
1672393500,19948,19948,19948,19948,1,NaN
1672395000,19941,19941,19941,19941,1,NaN
