time,open,high,low,close,Volume,Volume MA
1674811800,22745,22751,22745,22751,8,NaN
1674812100,22751,22758,22751,22758,45,NaN
1674812400,22758,22758,22757,22757,27,NaN
1674812700,22749,22755,22749,22755,7,NaN
1674813000,22759,22759,22758,22759,12,NaN
1674813300,22759,22759,22759,22759,18,NaN
1674813600,22750,22753,22750,22753,37,NaN
1674813900,22754,22757,22754,22757,19,NaN
1674814800,22750,22752,22750,22752,5,NaN
1674815100,22752,22752,22752,22752,3,NaN
1674815400,22746,22746,22744,22745,7,NaN
1674815700,22749,22754,22749,22754,10,NaN
1674816000,22755,22755,22755,22755,2,NaN
1674816600,22752,22752,22752,22752,1,NaN
1674817500,22760,22760,22760,22760,28,NaN
1674819000,22747,22747,22746,22746,12,NaN
1674819900,22751,22751,22751,22751,2,NaN
1674820200,22746,22770,22746,22770,22,NaN
1674821400,22758,22758,22758,22758,1,NaN
1674823500,22751,22754,22751,22754,6,NaN
1674824100,22763,22763,22763,22763,1,NaN
1674826500,22791,22791,22791,22791,1,NaN
1674828600,22772,22773,22772,22773,3,NaN
1674829800,22766,22766,22766,22766,1,NaN
1674830100,22766,22798,22766,22798,3,NaN
1674831300,22766,22766,22766,22766,2,NaN
1674831600,22793,22796,22793,22796,32,NaN
1674831900,22790,22790,22783,22783,18,NaN
1674832500,22772,22772,22772,22772,1,NaN
1674834000,22705,22705,22704,22704,40,NaN
1674834300,22703,22703,22688,22688,82,NaN
1674834600,22666,22666,22661,22661,11,NaN
1674834900,22666,22697,22666,22697,19,NaN
1674836100,22748,22754,22748,22754,9,NaN
1674836400,22754,22754,22754,22754,22,NaN
1674837000,22754,22754,22754,22754,94,NaN
1675041300,22704,22704,22615,22689,216,NaN
1675041600,22698,22733,22698,22733,4,NaN
1675041900,22750,22750,22750,22750,4,NaN
1675042200,22662,22662,22606,22606,26,NaN
1675042500,22597,22668,22594,22637,16,NaN
1675042800,22624,22688,22620,22688,41,NaN
1675043100,22675,22724,22675,22686,31,NaN
1675043400,22689,22713,22683,22693,16,NaN
1675043700,22637,22647,22614,22625,17,NaN
1675044000,22603,22635,22598,22635,21,NaN
1675044300,22608,22611,22580,22591,13,NaN
1675044600,22590,22643,22590,22638,25,NaN
1675044900,22619,22619,22619,22619,3,NaN
1675045500,22621,22621,22621,22621,3,NaN
1675045800,22602,22606,22602,22606,2,NaN
1675046100,22622,22622,22622,22622,1,NaN
1675046400,22598,22598,22598,22598,3,NaN
1675046700,22569,22569,22560,22560,4,NaN
1675047000,22550,22550,22550,22550,5,NaN
1675047300,22511,22548,22511,22548,94,NaN
1675047600,22537,22537,22537,22537,4,NaN
1675047900,22494,22494,22453,22453,9,NaN
1675048500,22487,22505,22487,22505,3,NaN
1675048800,22503,22532,22503,22521,12,NaN
1675049400,22491,22491,22491,22491,3,NaN
1675050000,22517,22517,22517,22517,4,NaN
1675050600,22468,22468,22468,22468,2,NaN
1675054800,22419,22419,22379,22379,11,NaN
1675055100,22379,22380,22379,22380,2,NaN
1675055400,22335,22340,22335,22340,4,NaN
1675055700,22300,22300,22298,22298,2,NaN
1675056000,22309,22309,22309,22309,1,NaN
1675056300,22302,22302,22266,22266,5,NaN
1675056600,22317,22317,22317,22317,3,NaN
1675056900,22330,22360,22330,22360,3,NaN
1675057500,22361,22390,22355,22390,5,NaN
1675057800,22371,22371,22371,22371,2,NaN
1675058100,22308,22311,22297,22297,8,NaN
1675058400,22310,22310,22270,22270,8,NaN
1675058700,22253,22253,22236,22236,13,NaN
1675059000,22222,22259,22222,22259,2,NaN
1675059300,22262,22262,22259,22259,4,NaN
1675059900,22265,22265,22265,22265,3,NaN
1675060200,22235,22239,22233,22239,11,NaN
1675060800,22247,22250,22247,22250,4,NaN
1675061100,22241,22261,22241,22261,8,NaN
1675061400,22240,22240,22222,22223,118,NaN
1675062000,22262,22262,22228,22228,13,NaN
1675062600,22243,22243,22179,22179,30,NaN
1675062900,22197,22199,22197,22197,13,NaN
1675063200,22188,22188,22160,22160,16,NaN
1675063500,22130,22148,22118,22133,30,NaN
1675063800,22154,22154,22154,22154,3,NaN
1675064100,22118,22159,22118,22144,57,NaN
1675064400,22131,22132,22115,22115,8,NaN
1675065000,22114,22114,22114,22114,1,NaN
1675065300,22101,22107,22089,22102,37,NaN
1675065600,22130,22150,22128,22150,7,NaN
1675065900,22160,22170,22153,22170,5,NaN
1675066200,22143,22143,22124,22124,17,NaN
1675066500,22148,22170,22148,22170,16,NaN
1675066800,22160,22160,22160,22160,7,NaN
1675067100,22158,22158,22144,22150,6,NaN
1675070100,22180,22200,22180,22200,8,NaN
1675070400,22210,22213,22210,22213,3,NaN
1675070700,22202,22202,22200,22200,2,NaN
1675071000,22220,22220,22220,22220,2,NaN
1675071900,22198,22205,22198,22205,28,NaN
1675073100,22228,22228,22228,22228,1,NaN
1675073400,22230,22230,22230,22230,2,NaN
1675074900,22240,22240,22240,22240,2,NaN
1675075200,22244,22244,22242,22242,3,NaN
1675076400,22250,22250,22250,22250,2,NaN
1675080300,22222,22222,22222,22222,1,NaN
1675081500,22225,22225,22225,22225,1,NaN
1675081800,22230,22230,22230,22230,1,NaN
1675087200,22216,22216,22210,22211,42,NaN
1675088100,22225,22225,22225,22225,1,NaN
1675089000,22170,22170,22131,22131,8,NaN
1675089300,22172,22180,22172,22180,4,NaN
1675090800,22260,22262,22260,22262,8,NaN
1675091100,22270,22290,22270,22290,6,NaN
1675091400,22289,22289,22289,22289,2,NaN
1675092300,22195,22195,22195,22195,1,NaN
1675094100,22245,22245,22245,22245,1,NaN
1675094400,22256,22258,22256,22258,8,NaN
1675097100,22275,22275,22275,22275,1,NaN
1675127700,22252,22272,22249,22272,12,NaN
1675128000,22300,22300,22291,22291,7,NaN
1675128300,22293,22293,22293,22293,1,NaN
1675128600,22302,22302,22207,22212,6,NaN
1675128900,22238,22263,22237,22253,30,NaN
1675129200,22322,22342,22269,22269,4,NaN
1675129500,22260,22260,22251,22251,14,NaN
1675129800,22242,22242,22180,22180,22,NaN
1675130100,22190,22190,22158,22162,3,NaN
1675130400,22166,22166,22136,22136,7,NaN
1675130700,22160,22160,22120,22140,13,NaN
1675131300,22172,22172,22163,22163,8,NaN
1675131600,22203,22216,22203,22216,8,NaN
1675132500,22150,22150,22150,22150,9,NaN
1675132800,22130,22130,22130,22130,1,NaN
1675133100,22080,22090,22080,22090,3,NaN
1675133700,22066,22066,22055,22055,2,NaN
1675134000,22036,22036,22000,22000,5,NaN
1675134300,22024,22024,22008,22008,2,NaN
1675134600,22030,22030,21980,21980,37,NaN
1675134900,21990,22000,21990,21992,3,NaN
1675135500,21950,21966,21936,21966,6,NaN
1675135800,21979,21980,21979,21979,5,NaN
1675137000,21920,21920,21898,21898,11,NaN
1675137300,21880,21880,21880,21880,2,NaN
1675141200,21900,21900,21860,21896,26,NaN
1675141500,21860,21902,21850,21902,8,NaN
1675141800,21902,21920,21902,21920,23,NaN
1675142100,21880,21890,21880,21890,2,NaN
1675142400,21891,21920,21891,21920,33,NaN
1675143000,21859,21859,21855,21855,3,NaN
1675143300,21840,21840,21818,21824,18,NaN
1675143600,21838,21838,21828,21828,10,NaN
1675143900,21838,21838,21808,21808,6,NaN
1675144200,21800,21800,21800,21800,3,NaN
1675144500,21790,21800,21790,21792,7,NaN
1675144800,21788,21792,21773,21773,12,NaN
1675145100,21778,21778,21766,21768,4,NaN
1675145400,21770,21810,21770,21810,14,NaN
1675145700,21815,21829,21815,21825,11,NaN
1675146000,21828,21848,21827,21828,129,NaN
1675146300,21833,21837,21799,21804,80,NaN
1675146600,21817,21818,21798,21798,11,NaN
1675146900,21791,21791,21768,21768,6,NaN
1675147200,21760,21760,21750,21754,10,NaN
1675147500,21750,21750,21738,21738,5,NaN
1675148100,21724,21739,21724,21738,3,NaN
1675148400,21778,21782,21778,21782,2,NaN
1675148700,21790,21790,21790,21790,1,NaN
1675149300,21764,21764,21764,21764,4,NaN
1675150500,21800,21805,21800,21805,3,NaN
1675150800,21810,21822,21805,21822,135,NaN
1675151100,21825,21879,21825,21879,62,NaN
1675151400,21889,21915,21881,21895,25,NaN
1675151700,21897,21928,21897,21928,41,NaN
1675152000,21933,21936,21933,21933,90,NaN
1675152600,21956,21956,21956,21956,1,NaN
1675153200,21950,21950,21950,21950,2,NaN
1675153500,21920,21920,21920,21920,1,NaN
1675158000,21885,21885,21885,21885,2,NaN
1675167600,21905,21905,21905,21905,25,NaN
1675169100,21904,21904,21904,21904,1,NaN
1675171800,21903,21905,21903,21905,8,NaN
1675174200,21938,21938,21938,21938,2,NaN
1675174500,21931,21931,21920,21920,3,NaN
1675174800,21930,21930,21930,21930,1,NaN
1675175100,21922,21924,21922,21923,6,NaN
1675175700,21861,21861,21861,21861,1,NaN
1675176000,21900,21900,21900,21900,1,NaN
1675176300,21879,21879,21879,21879,1,NaN
1675176600,21880,21880,21880,21880,1,NaN
1675177500,21815,21815,21815,21815,1,NaN
1675178400,21868,21868,21868,21868,1,NaN
1675179600,21922,21952,21922,21952,15,NaN
1675179900,21958,21981,21958,21981,12,NaN
1675180200,21991,21991,21991,21991,2,NaN
1675180800,21991,21991,21991,21991,2,NaN
1675181100,21997,22001,21997,22001,4,NaN
1675182300,21971,21971,21971,21971,1,NaN
1675183200,21995,21995,21995,21995,1,NaN
1675183800,21975,21975,21975,21975,1,NaN
1675184400,21975,21975,21975,21975,2,NaN
1675184700,21982,21982,21970,21973,35,NaN
1675185300,21960,21960,21960,21960,1,NaN
1675186200,21960,21960,21952,21952,4,NaN
1675186800,21944,21944,21944,21944,2,NaN
1675214100,21999,22024,21966,21966,12,NaN
1675214400,21960,21960,21960,21960,1,NaN
1675214700,21981,21981,21981,21981,2,NaN
1675215000,21999,22002,21929,21982,16,NaN
1675215300,22012,22012,21981,21982,4,NaN
1675215600,22010,22030,22010,22030,18,NaN
1675215900,22012,22012,21950,21950,6,NaN
1675216200,21932,21945,21932,21945,2,NaN
1675216500,21957,22008,21957,22008,10,NaN
1675217100,21919,21919,21892,21892,5,NaN
1675217400,21880,21890,21878,21890,5,NaN
1675217700,21838,21838,21822,21822,2,NaN
1675218000,21810,21810,21790,21790,7,NaN
